fecha,id_solicitud,sku,monto,monto_uf,dias_desde_compra,estado_producto,ruta,motivo,U_aplicado,D_aplicado,D_aplicado,version,autor,uf,ivp,dolar,dolar_intercambio,euro,ipc,utm,imacec,tpm,libra_cobre,tasa_desempleo,bitcoin,uf_valor,notificacion_para,notificacion_asunto,notificacion_cuerpo,dias_de_compra,email_cliente
2026-09-09T08:01:20.209-03:00,DEV-C01,PL-120,30000,"0,73",10,danado_por_uso,rechazo,producto danado por uso,48000,cliente9@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente9@example.cl,     Solicitud DEV-C01: rechazo,     Estimado cliente: su solicitud DEV-C01 por $30000 (0.73 UF) quedó en estado rechazo. Motivo: producto danado por uso.,,
2026-09-09T08:03:23.055-03:00,DEV-1123,AU-210,39980,"0,98",15,danado_por_uso,rechazo,producto danado por uso,48000,cliente9@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente9@example.cl,     Solicitud DEV-1123: rechazo,     Estimado cliente: su solicitud DEV-1123 por $39980 (0.98 UF) quedó en estado rechazo. Motivo: producto danado por uso.,,
2026-09-09T08:03:22.782-03:00,DEV-1125,TE-330,34990,"0,86",22,sin_abrir,rechazo,"fuera de plazo: 22 dias, el maximo es 21",48000,cliente11@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente11@example.cl,     Solicitud DEV-1125: rechazo,"     Estimado cliente: su solicitud DEV-1125 por $34990 (0.86 UF) quedó en estado rechazo. Motivo: fuera de plazo: 22 dias, el maximo es 21.",,
2026-09-09T08:03:25.204-03:00,DEV-C01,CB-010,9990,"0,24",1,sin_abrir,aprobacion,"dentro de plazo, bajo el umbral y sin fallas: reembolso inmediato",48000,control01@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     control01@example.cl,     Solicitud DEV-C01: aprobacion,"     Estimado cliente: su solicitud DEV-C01 por $9990 (0.24 UF) quedó en estado aprobacion. Motivo: dentro de plazo, bajo el umbral y sin fallas: reembolso inmediato.",,
2026-09-09T08:03:25.647-03:00,DEV-C02,LV-330,289990,"7,09",,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,control02@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     control02@example.cl,     Solicitud DEV-C02: REVISION,     Estimado cliente: su solicitud DEV-C02 por $289990 (7.09 UF) quedó en estado REVISION. Motivo: monto sobre el umbral: supera los 48000.,2,
2026-09-09T08:03:27.209-03:00,DEV-C03,MW-150,79990,"1,96",29,abierto_sin_uso,rechazo,"fuera de plazo: 29 dias, el maximo es 21",48000,control03@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     control03@example.cl,     Solicitud DEV-C03: rechazo,"     Estimado cliente: su solicitud DEV-C03 por $79990 (1.96 UF) quedó en estado rechazo. Motivo: fuera de plazo: 29 dias, el maximo es 21.",,
2026-09-09T08:03:27.387-03:00,DEV-1118,MW-150,79990,"1,96",,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,cliente4@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente4@example.cl,     Solicitud DEV-1118: REVISION,     Estimado cliente: su solicitud DEV-1118 por $79990 (1.96 UF) quedó en estado REVISION. Motivo: monto sobre el umbral: supera los 48000.,4,
2026-09-09T08:03:28.662-03:00,DEV-1126,MW-150,79990,"1,96",,con_fallas,REVISION,monto sobre el umbral: supera los 48000,48000,cliente12@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente12@example.cl,     Solicitud DEV-1126: REVISION,     Estimado cliente: su solicitud DEV-1126 por $79990 (1.96 UF) quedó en estado REVISION. Motivo: monto sobre el umbral: supera los 48000.,8,
2026-09-09T08:03:29.958-03:00,DEV-1119,PL-120,45990,"1,12",25,danado_por_uso,rechazo,"fuera de plazo: 25 dias, el maximo es 21",48000,cliente5@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente5@example.cl,     Solicitud DEV-1119: rechazo,"     Estimado cliente: su solicitud DEV-1119 por $45990 (1.12 UF) quedó en estado rechazo. Motivo: fuera de plazo: 25 dias, el maximo es 21.",,
2026-09-09T08:03:31.253-03:00,DEV-1121,LV-330,289990,"7,09",,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,cliente7@example.cl,21,1.7.2000,mindicador.cl,"{""codigo"":""uf"",""nombre"":""Unidad de fomento (UF)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":40885.63}","{""codigo"":""ivp"",""nombre"":""Indice de valor promedio (IVP)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":42432.23}","{""codigo"":""dolar"",""nombre"":""Dólar observado"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":926.94}","{""codigo"":""dolar_intercambio"",""nombre"":""Dólar acuerdo"",""unidad_medida"":""Pesos"",""fecha"":""2014-11-13T03:00:00.000Z"",""valor"":758.87}","{""codigo"":""euro"",""nombre"":""Euro"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":1077.59}","{""codigo"":""ipc"",""nombre"":""Indice de Precios al Consumidor (IPC)"",""unidad_medida"":""Porcentaje"",""fecha"":""2025-12-01T03:00:00.000Z"",""valor"":-0.2}","{""codigo"":""utm"",""nombre"":""Unidad Tributaria Mensual (UTM)"",""unidad_medida"":""Pesos"",""fecha"":""2026-09-01T04:00:00.000Z"",""valor"":71721}","{""codigo"":""imacec"",""nombre"":""Imacec"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":-1.5}","{""codigo"":""tpm"",""nombre"":""Tasa Política Monetaria (TPM)"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":4.5}","{""codigo"":""libra_cobre"",""nombre"":""Libra de Cobre"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-09T03:00:00.000Z"",""valor"":6.62}","{""codigo"":""tasa_desempleo"",""nombre"":""Tasa de desempleo"",""unidad_medida"":""Porcentaje"",""fecha"":""2026-07-01T04:00:00.000Z"",""valor"":9.53}","{""codigo"":""bitcoin"",""nombre"":""Bitcoin"",""unidad_medida"":""Dólar"",""fecha"":""2026-09-06T04:00:00.000Z"",""valor"":80341.3}","40885,63",     cliente7@example.cl,     Solicitud DEV-1121: REVISION,     Estimado cliente: su solicitud DEV-1121 por $289990 (7.09 UF) quedó en estado REVISION. Motivo: monto sobre el umbral: supera los 48000.,9,
